,Refcode,ΔE,P1/P2,O…O,O-H-O,O_H1-O_H3,O_H1-O_H4,O_H2-O_H3,O_H2-O_H4,min H…O,min H…H,H1…H4,H-O-H-H3,H-O-H-O,H-O-H-H4,O-H1-H3,O-H1-H4,H1-O-H2,H3-O-H4,R(H1O),r(H1O),R(H1H3),r(H1H3),R(H1H4),r(H1H4)
7755,EHUFAO,-4.5,50.637,2.818,169.777,76.703,55.885,172.413,81.169,1.835,2.275,2.428,153.696,82.321,51.769,153.373,166.63,104.725,105.444,0.32567544672471,1.805868351625,1.0196104062789,2.0337206345533,0.56144714474855,2.362194129121
7756,GEXLAZ,-4.1,58.813,2.818,174.9,83.863,45.55,50.387,97.389,1.828,2.23,2.62,39.158,7.662,68.191,149.783,163.803,109.479,109.48,0.16249877467185,1.8207630675709,1.1223062827573,1.9269998982054,0.73082496096818,2.5160077258279
7757,GOZDOQ,-4.53,81.18,2.818,167.127,87.12,77.517,66.382,171.541,1.841,2.138,2.425,86.017,152.421,168.106,149.606,145.946,109.216,109.721,0.41015776310766,1.7947288400654,1.0817070728524,1.8441675109765,1.3579369609216,2.0091371805238
7758,LEXQOV,-4.04,50.636,2.818,174.82,81.842,58.283,26.602,130.485,1.828,2.205,2.445,3.748,80.398,133.29,152.799,163.305,107.852,111.368,0.1650408802802,1.8205344017173,1.0079351577642,1.9611455116189,0.70239210112316,2.3419373040882
7759,LOZNOD,-4.36,85.744,2.818,169.958,47.1,55.96,100.941,93.204,1.835,2.536,2.615,63.763,55.109,73.085,168.242,154.613,109.997,102.061,0.31996901006859,1.806888162725,0.51678214841601,2.4827871860227,1.1211293738591,2.3624762278318
7760,MAXDUL,-4.15,29.691,2.818,164.351,52.056,57.074,140.628,52.056,1.849,2.503,2.523,179.67,104.241,47.12,162.755,156.862,106.542,106.542,0.49875560154455,1.7804616957205,0.74203495628357,2.3904796848443,0.991405480291,2.3200526230344
7761,MUKYOI,-4.42,82.464,2.818,163.526,55.917,74.407,146.463,100.477,1.851,2.371,2.484,178.938,60.0,83.561,169.595,145.294,107.817,101.967,0.52490698144945,1.7750137072219,0.42821440133492,2.3320105974222,1.4143041877393,2.0420577035293
7762,NOLCOI,-4.54,56.364,2.818,179.467,73.975,66.233,52.91,159.981,1.825,2.313,2.401,41.419,46.287,158.558,155.168,157.929,107.765,107.735,0.016977009103291,1.8249210342264,0.97136520305591,2.0991471225934,0.9021883713049,2.2250521662833
7763,RIWCIK,-2.41,69.463,2.818,158.015,69.862,82.478,36.989,130.646,1.873,2.097,2.275,10.332,149.617,162.149,172.3,145.122,101.752,106.785,0.70118348059045,1.7367989885266,0.28096903082216,2.078091769802,1.3009153329057,1.8663451708114
7764,SUYWIU,-4.56,82.349,2.818,166.622,89.459,58.388,77.515,155.49,1.842,2.212,2.57,93.091,132.699,173.717,144.535,154.167,100.279,111.474,0.42619158455994,1.7920169455812,1.283414637946,1.8016078560846,1.1198764040014,2.3131746237068
7765,WETQIW,-3.88,44.402,2.818,172.141,82.23,46.985,24.503,112.041,1.831,2.28,2.542,18.474,51.09,96.155,148.679,168.591,104.367,104.021,0.25036309819311,1.8138024476395,1.1852175356896,1.9477318586227,0.50283637182027,2.4917703712771
7766,XIHSEM,-4.64,77.433,2.818,172.267,62.722,48.185,113.41,99.04,1.831,2.39,2.651,121.664,123.162,94.12,161.732,159.098,109.323,110.043,0.24637373610591,1.8143486385359,0.74917453325306,2.269545663503,0.94579888443304,2.4765430483247
7767,YOVSUZ,-3.97,88.981,2.818,157.441,94.899,76.546,113.204,27.954,1.875,2.28,2.435,96.187,69.325,32.528,136.258,143.729,103.855,109.927,0.71931485427685,1.7315343312844,1.5764197886528,1.6472099592778,1.4405586279708,1.9631647509516
7768,ABEBOB,-3.65,54.89,2.819,161.293,95.119,50.926,21.548,126.032,1.861,2.301,2.499,14.315,7.028,76.809,136.687,162.873,106.433,104.62,0.5968761325835,1.7626854178645,1.578447945311,1.6742470199894,0.7359322578368,2.3881802092546
7769,AKEQEO,-4.6,64.543,2.819,168.838,73.203,52.918,142.336,103.161,1.838,2.387,2.613,157.51,154.99,114.788,151.093,156.79,101.454,102.369,0.35580686716372,1.8032319521568,1.1538503493699,2.0895928721306,1.0297893699192,2.401520945901
7770,AWUJAE,-5.18,85.969,2.819,172.776,75.134,61.776,119.635,131.302,1.831,2.388,2.411,114.937,107.305,141.766,150.175,161.48,108.681,104.358,0.23024605022008,1.8164657322278,1.1876778841811,2.0717058776349,0.76581958703771,2.2861411505219
7771,BAWZOR,-3.99,87.295,2.819,163.286,66.379,77.026,141.786,109.622,1.853,2.236,2.262,107.36,10.874,76.152,166.366,152.037,111.998,107.027,0.53291270384711,1.774714920791,0.52706733727692,2.1729924118542,1.0606547004695,1.9979128125051
7772,GIHHUC,-4.28,41.402,2.819,172.884,60.413,42.656,64.1,138.919,1.831,2.549,2.587,40.516,27.659,139.74,154.853,169.989,108.593,102.747,0.22682168596913,1.8168965085481,1.0831774698092,2.3074071094841,0.44971695017943,2.5476113645376
7773,HEBCEY,-2.94,28.239,2.819,162.083,95.458,29.206,9.725,114.309,1.858,2.118,2.636,22.898,68.657,78.325,142.187,178.077,105.06,105.146,0.57159316540264,1.767892885122,1.2985168222875,1.6732537351628,0.088454619622437,2.6345154735297
7774,JOBGAJ,-2.52,15.417,2.819,143.662,76.528,33.861,31.857,136.684,1.957,2.517,2.545,40.352,71.37,97.996,135.888,160.581,108.315,107.081,1.1596155757706,1.5764329089531,1.7519910375215,1.8071569949632,0.84614607064633,2.4002212037914
7775,KEDBAX,-4.61,52.129,2.819,164.172,100.3,36.338,136.791,81.643,1.851,2.181,2.656,149.951,155.239,93.745,137.315,166.333,108.352,105.622,0.50486106985958,1.780818997018,1.4786465644835,1.603235895725,0.62755578813919,2.580796336942
7776,LESZOA,-4.02,82.581,2.819,167.526,82.966,86.197,170.463,62.888,1.842,2.146,2.324,147.012,64.932,62.678,153.475,143.323,99.002,108.123,0.39786566829774,1.7985179759986,0.9583784046778,1.9201111513262,1.3881327424515,1.8638839795797
7777,MUFFOK,-2.84,3.481,2.819,142.175,64.597,45.964,171.132,61.349,1.968,2.497,2.63,131.324,95.191,63.856,142.477,148.583,107.276,110.548,1.2068794744288,1.5544986118368,1.5208723914269,1.9803929329796,1.3709213284359,2.2444319350873
7778,MUFHUS,-3.53,60.718,2.819,166.649,73.994,67.461,128.391,38.133,1.844,2.221,2.311,152.769,111.238,17.06,158.585,160.223,104.175,106.398,0.42580890095893,1.7941635320851,0.81093267863641,2.067662736212,0.78195042038651,2.1746895272791
7779,PECPOF,-4.55,84.961,2.819,165.807,91.633,45.95,97.807,61.342,1.845,2.243,2.514,109.212,133.036,23.032,141.719,170.42,106.033,106.887,0.45237360159775,1.7886819517671,1.389580569759,1.7607142982745,0.41839134137072,2.4789402343473
7780,QEHLAT,-4.1,45.479,2.819,170.571,93.314,30.924,137.722,105.694,1.835,2.139,2.74,150.4,175.722,125.875,145.015,166.289,102.876,107.928,0.3006194077793,1.8102079912724,1.2264212392712,1.7524873591169,0.64944758412918,2.6619199528665
7781,QOYGUG,-4.29,19.368,2.819,167.129,52.728,56.948,59.795,162.219,1.842,2.448,2.607,2.143,123.04,154.583,168.293,153.726,107.96,108.501,0.41031787171937,1.7957180302452,0.49671616091385,2.3970767729647,1.1540259150402,2.3376640450278
7782,RALBUD,-4.0,56.094,2.819,169.847,85.746,55.58,35.424,140.698,1.836,2.274,2.442,21.943,2.117,122.471,145.832,165.996,105.657,105.327,0.32364519715685,1.8072492319427,1.2771269755437,1.881494801571,0.5909386872796,2.3694209140371
7783,ROBJEZ,-4.92,55.438,2.819,169.298,79.92,61.777,171.821,75.272,1.837,2.375,2.384,178.676,170.083,83.321,146.42,162.568,108.098,108.086,0.34113258072567,1.8050478005769,1.3136143315371,1.978646605127,0.7141836863233,2.2745104225283
7784,TEVGOS,-2.39,87.752,2.819,147.023,58.513,88.67,44.477,92.332,1.934,2.306,2.587,65.929,117.326,105.09,158.165,129.498,101.872,99.873,1.052680700802,1.6224115822315,0.85768198534141,2.1405647880923,1.9962502359928,1.6454646745824
7785,TIXVED,-4.39,74.347,2.819,166.026,94.977,61.461,128.858,52.279,1.845,2.193,2.514,122.812,99.076,49.431,140.984,154.255,107.012,107.055,0.44553348645205,1.7903979759958,1.380575488818,1.7038956305112,1.0919977706727,2.2644506770619
7786,VOCKEE,-4.62,72.968,2.819,160.814,51.013,74.333,113.685,126.0,1.862,2.417,2.552,157.2,105.897,116.502,170.414,142.577,109.342,108.997,0.6119200127399,1.7585783741444,0.40249773479699,2.3832508414943,1.5508368469533,2.0267237291087
7787,WOGGIK,-4.17,64.035,2.819,177.139,65.927,48.562,59.617,100.526,1.827,2.374,2.61,43.289,136.784,93.074,159.914,161.976,108.03,100.578,0.091191273357603,1.8247227602196,0.81530334302828,2.2296090372186,0.80757405012443,2.4819194494515
7788,WUNWUZ,-4.12,89.919,2.819,177.025,75.999,68.113,69.766,57.423,1.827,2.304,2.346,69.832,120.056,46.194,153.678,159.305,101.551,105.243,0.094821696349432,1.8245377074485,1.0216290452698,2.0651126104552,0.82906046958529,2.1946240538577
7789,ZAGJID,-3.9,30.781,2.819,169.681,53.569,57.338,151.961,53.684,1.836,2.516,2.606,138.516,55.244,36.591,162.237,154.03,103.107,98.276,0.32887987810481,1.8063039682672,0.76758224345494,2.3960537346923,1.1411686489449,2.3428551202892
7790,AQEJEL,-4.15,60.27,2.82,168.867,67.71,78.102,52.244,151.922,1.839,2.256,2.348,45.684,154.822,164.922,165.162,148.832,104.454,106.308,0.35508721103785,1.8043929928254,0.57773209887785,2.1807708779068,1.2152055288312,2.0090742949672
7791,ASOQUW,-3.84,71.037,2.82,167.554,64.404,45.166,83.207,118.393,1.843,2.294,2.722,56.575,86.432,102.261,166.235,156.672,109.441,109.51,0.39720221851477,1.7996886946378,0.54583477506976,2.2281158852996,1.0778964652384,2.4994845889156
7792,DEHSAM,-4.77,84.796,2.82,165.427,82.076,79.107,101.356,150.944,1.848,2.197,2.438,125.645,166.43,155.626,151.192,144.149,105.416,107.7,0.46498139331122,1.7885458629497,1.0586816267051,1.9250979749813,1.4278863420839,1.9761033864882
